Признак,Коэффициент,p-value,95% CI нижн,95% CI верхн
const,11.450532544378696,3.81668340373444e-189,11.099412349821918,11.801652738935474
x1,1.8674981491654967,7.57737687067291e-19,1.4777451803526849,2.2572511179783086
x2,3.1675258180643255,6.172074715194529e-14,2.372809830448999,3.962241805679652
x3,-2.7088429241869516,2.700360399641588e-11,-3.481503099115276,-1.9361827492586272
x4,-0.3768108913423331,0.0376715320603737,-0.732019257677548,-0.021602525007118123
x5,-0.45462299810586504,0.011936745471019158,-0.8083913489851995,-0.10085464722653054
